epoch,mse_loss,set5_psnr_db,set5_ssim,learning_rate
1,0.04425831520443803,23.064854273548825,0.6817982542514721,0.001
2,0.009476823604327965,25.224618090836746,0.7362377618051967,0.001
3,0.006163572953312893,26.676923697535948,0.7961170531230785,0.001
4,0.00393346738668957,28.21133777405589,0.8441017841726144,0.001
5,0.0029348664872916315,28.861798757697294,0.863732772227862,0.001
6,0.0025815445869639105,29.920337879248642,0.8770736433536861,0.001
7,0.0023947776151964297,29.087994134524912,0.8809284337629224,0.001
8,0.0021909037121996323,30.789079790895773,0.8876169018608469,0.001
9,0.002012211985817015,31.26078458400422,0.8987810868216062,0.001
10,0.0018431873258732893,31.808262128934683,0.9079628780324661,0.001
11,0.0016881894177288984,32.389790560637934,0.917703842836693,0.001
12,0.0014861504535144707,32.07835616438551,0.9195483984804685,0.001
13,0.0014032689873052372,32.943055235349206,0.9253109466823215,0.001
14,0.0013483793683098067,32.54706571243043,0.9233897385786921,0.001
15,0.0012407769067826998,33.519638221074196,0.9345127876190329,0.001
16,0.0012241740920357048,33.61321499769971,0.9361311547971394,0.001
17,0.0012430193724307732,33.33176616679127,0.937589129443983,0.001
18,0.0011618252105468495,33.74649686624407,0.937912701781728,0.001
19,0.0012380484434658314,33.820645552009715,0.9380966907799568,0.001
20,0.0011380797557969025,33.71929313139924,0.9373077990752398,0.001
21,0.0011662909549029013,33.473899949038646,0.9331811110942599,0.001
22,0.0011791645680045053,33.76161299178881,0.9373031392464414,0.001
23,0.001186602011420201,33.82630006532964,0.9378386777715149,0.001
24,0.001135084915114311,33.85577263104351,0.9378498100021899,0.001
25,0.0011551741140915061,33.83246486026576,0.9371384361765995,0.001
26,0.0011676207727210207,33.877921711558365,0.9386182024702151,0.001
27,0.0011290666646615777,33.769776029094444,0.9364494506975782,0.001
28,0.0011514636982490748,33.33374223404512,0.934233370935442,0.001
29,0.0011443900232104799,33.91253265200011,0.9382857241408585,0.001
30,0.00113396277247575,33.40396205057604,0.9313602094789021,0.001
31,0.001109376017696347,33.928839604585775,0.9386878554613552,0.0001
32,0.0011082363739011011,33.930204390054726,0.9386230739872847,0.0001
33,0.001107840274926275,33.93234807404277,0.9386533060072552,0.0001
34,0.0011074595507694878,33.932042952567926,0.938619816090829,0.0001
35,0.0011070205600245261,33.93442614837623,0.9385501894441592,0.0001
36,0.0011065792988609667,33.936554080160036,0.9384946914075071,0.0001
37,0.0011061069488098108,33.94011242600062,0.9386933397942409,0.0001
38,0.0011055897299269378,33.939118943603106,0.9386292785913215,0.0001
39,0.0011050461036355265,33.94459201771759,0.9385617565303315,0.0001
40,0.0011044262156336938,33.94480649376414,0.9386749514529307,0.0001
41,0.0011037615936052485,33.94909131539964,0.9385158258588693,0.0001
42,0.0011031987400761305,33.955811130857086,0.938758291812241,0.0001
43,0.0011027840080934546,33.95422431019732,0.9385340032746299,0.0001
44,0.00110209306077085,33.96083229243544,0.9384056999011005,0.0001
45,0.001101431763535212,33.95483981141429,0.9383386885027475,0.0001
46,0.0011003257270683637,33.9629558344952,0.9384626345205428,0.0001
47,0.0011002701592208192,33.968935976614816,0.9384618702865632,0.0001
48,0.0010995939581854536,33.96987547083461,0.9385274354188263,0.0001
49,0.0010988977814482136,33.971435169285556,0.9383374628822766,0.0001
50,0.0010982101651549514,33.976774278535764,0.9386113640384837,0.0001
