mode,width,height,fps,pixel_format,bytes_per_pixel,active_mpixel_per_s,frame_mb,active_payload_mb_per_s,active_payload_gbit_per_s
540p30,960,540,30,Y8,1.0,15.552,0.5184,15.552,0.124416
540p30,960,540,30,YCbCr420_8bit,1.5,15.552,0.7776,23.328,0.186624
540p30,960,540,30,YCbCr422_8bit,2.0,15.552,1.0368,31.104,0.248832
540p30,960,540,30,RGB888,3.0,15.552,1.5552,46.656,0.373248
720p60,1280,720,60,Y8,1.0,55.296,0.9216,55.296,0.442368
720p60,1280,720,60,YCbCr420_8bit,1.5,55.296,1.3824,82.944,0.663552
720p60,1280,720,60,YCbCr422_8bit,2.0,55.296,1.8432,110.592,0.884736
720p60,1280,720,60,RGB888,3.0,55.296,2.7648,165.888,1.327104
1080p30,1920,1080,30,Y8,1.0,62.208,2.0736,62.208,0.497664
1080p30,1920,1080,30,YCbCr420_8bit,1.5,62.208,3.1104,93.312,0.746496
1080p30,1920,1080,30,YCbCr422_8bit,2.0,62.208,4.1472,124.416,0.995328
1080p30,1920,1080,30,RGB888,3.0,62.208,6.2208,186.624,1.492992
1080p60,1920,1080,60,Y8,1.0,124.416,2.0736,124.416,0.995328
1080p60,1920,1080,60,YCbCr420_8bit,1.5,124.416,3.1104,186.624,1.492992
1080p60,1920,1080,60,YCbCr422_8bit,2.0,124.416,4.1472,248.832,1.990656
1080p60,1920,1080,60,RGB888,3.0,124.416,6.2208,373.248,2.985984
1440p30,2560,1440,30,Y8,1.0,110.592,3.6864,110.592,0.884736
1440p30,2560,1440,30,YCbCr420_8bit,1.5,110.592,5.5296,165.888,1.327104
1440p30,2560,1440,30,YCbCr422_8bit,2.0,110.592,7.3728,221.184,1.769472
1440p30,2560,1440,30,RGB888,3.0,110.592,11.0592,331.776,2.654208
4K30,3840,2160,30,Y8,1.0,248.832,8.2944,248.832,1.990656
4K30,3840,2160,30,YCbCr420_8bit,1.5,248.832,12.4416,373.248,2.985984
4K30,3840,2160,30,YCbCr422_8bit,2.0,248.832,16.5888,497.664,3.981312
4K30,3840,2160,30,RGB888,3.0,248.832,24.8832,746.496,5.971968
4K60,3840,2160,60,Y8,1.0,497.664,8.2944,497.664,3.981312
4K60,3840,2160,60,YCbCr420_8bit,1.5,497.664,12.4416,746.496,5.971968
4K60,3840,2160,60,YCbCr422_8bit,2.0,497.664,16.5888,995.328,7.962624
4K60,3840,2160,60,RGB888,3.0,497.664,24.8832,1492.992,11.943936
8K30,7680,4320,30,Y8,1.0,995.328,33.1776,995.328,7.962624
8K30,7680,4320,30,YCbCr420_8bit,1.5,995.328,49.7664,1492.992,11.943936
8K30,7680,4320,30,YCbCr422_8bit,2.0,995.328,66.3552,1990.656,15.925248
8K30,7680,4320,30,RGB888,3.0,995.328,99.5328,2985.984,23.887872
8K60,7680,4320,60,Y8,1.0,1990.656,33.1776,1990.656,15.925248
8K60,7680,4320,60,YCbCr420_8bit,1.5,1990.656,49.7664,2985.984,23.887872
8K60,7680,4320,60,YCbCr422_8bit,2.0,1990.656,66.3552,3981.312,31.850496
8K60,7680,4320,60,RGB888,3.0,1990.656,99.5328,5971.968,47.775744
